,Repository,No_of_branches
0,clay,27
1,cassette,17
2,charlatan,14
3,multidimensional_urlencode,1
4,py-find-injection,1
5,airlock,9
6,uber-ngen,40
7,uncaught-exception,10
8,eight-track,17
9,sublime-phabricator,3
10,build-changelog,15
11,cache-dir,10
12,mutornadomon,17
13,doubles,2
14,py-look-for-timeouts,7
15,Python-Sample-Application,9
16,pymegacli,2
17,json-schema-filter,9
18,kafka-logger,13
19,sentry-logger,3
20,logtron,34
21,typed-request-client,14
22,sevnup,34
23,tchannel,130
24,uber-licence,4
25,tcap,7
26,bufrw,7
27,phabricator-jenkins-plugin,1
28,uberalls,4
29,grafana-dash-gen,13
30,standard,27
31,arcanist,4
32,libphutil,2
33,ringpop-go,35
34,signals-ios,6
35,ringpop-ui,3
36,tchannel-python,10
37,tchannel-java,9
38,tchannel-node,75
39,tchannel-go,48
40,rides-java-sdk,5
41,rides-python-sdk,5
42,okbuck,3
43,rides-android-sdk,11
44,rides-ios-sdk,4
45,react-vis,40
46,uReplicator,13
47,denial-by-dns,1
48,go.uber.org,2
49,react-vis-force,3
50,react-digraph,21
51,arachne,5
52,AutoDispose,2
53,dosa-idl,7
54,pam-ussh,1
55,cadence,147
56,UBTokenBar,2
57,percona-server,8
58,uberscriptquery,1
59,zanzibar,47
60,peloton,3
61,android-template,2
62,queryparser,5
63,startup-reason-reporter,2
64,storagetapper,5
65,UberSignature,1
66,crumb,3
67,NEAL,4
68,NullAway,17
69,RIBs,12
70,artist,3
71,dynamodb-cross-region-library,1
72,cadence-web,25
73,cadence-java-client,35
74,ios-snapshot-test-case,3
75,h3,4
76,marmaray,6
77,trucking-labor-analysis,1
78,prototool,3
79,h3-java,3
80,nebula.gl,20
81,nanoscope-art,8
82,nanoscope,4
83,homebrew-nanoscope,1
84,baseweb,215
85,gonduit,1
86,needle,12
87,swift-concurrency,2
88,cadvisor,21
89,h3-js,1
90,assume-role-cli,8
91,h3-py,5
92,petastorm,3
93,geojson2h3,2
94,xviz,64
95,cadence-java-samples,3
96,motif,2
97,streetscape.gl,88
98,cyborg,31
99,stylist,4
100,h3-go,3
101,aresdb,21
102,astro,23
103,uber-poet,4
104,RxCentralBle,2
105,uber-graph-benchmark,1
106,simple-store,3
107,client-platform-engineering,6
108,kraken,39
109,piranha,5
110,xviz-data,1
111,mockolo,1
112,RxCBCentral,2
113,neuropod,30
114,h3-py-notebooks,2
115,manifold,33
116,swift-abstract-class,1
117,swift-common,3
118,RxDogTag,4
119,lint-checks,2
120,graph.gl,2
121,causalml,73
122,bayesmark,2
123,hypothesis-gufunc,5
124,uber-pay-reference-app,2
125,.github,1
126,react-view,22
127,cadence-idl,16
128,fiber,32
129,orbit,26
130,athenadriver,12
131,base-design-docs,7
132,SwiftCodeSan,1
133,react-global-hooks,5
134,RemoteShuffleService,5
135,Cadence-Docs,30
136,concurrency-loadbalancer,1
