,URL,repo,head_repo_size,base_repo_size
0,https://api.github.com/repos/uber/cassette/pulls/41,cassette,299.0,963
1,https://api.github.com/repos/uber/multidimensional_urlencode/pulls/12,multidimensional_urlencode,41.0,40
2,https://api.github.com/repos/uber/py-find-injection/pulls/2,py-find-injection,169.0,230
3,https://api.github.com/repos/uber/airlock/pulls/4,airlock,34.0,34
4,https://api.github.com/repos/uber/uncaught-exception/pulls/17,uncaught-exception,1256.0,1251
5,https://api.github.com/repos/uber/eight-track/pulls/34,eight-track,1138.0,1138
6,https://api.github.com/repos/uber/sublime-phabricator/pulls/9,sublime-phabricator,124.0,358
7,https://api.github.com/repos/uber/doubles/pulls/124,doubles,333.0,324
8,https://api.github.com/repos/uber/py-look-for-timeouts/pulls/1,py-look-for-timeouts,17.0,17
9,https://api.github.com/repos/uber/Python-Sample-Application/pulls/37,Python-Sample-Application,49.0,46
10,https://api.github.com/repos/uber/Python-Sample-Application/pulls/36,Python-Sample-Application,46.0,46
11,https://api.github.com/repos/uber/Python-Sample-Application/pulls/33,Python-Sample-Application,79.0,46
12,https://api.github.com/repos/uber/Python-Sample-Application/pulls/32,Python-Sample-Application,46.0,46
13,https://api.github.com/repos/uber/Python-Sample-Application/pulls/29,Python-Sample-Application,133.0,46
14,https://api.github.com/repos/uber/Python-Sample-Application/pulls/28,Python-Sample-Application,121.0,46
15,https://api.github.com/repos/uber/pymegacli/pulls/8,pymegacli,,33
16,https://api.github.com/repos/uber/pymegacli/pulls/7,pymegacli,,33
17,https://api.github.com/repos/uber/pymegacli/pulls/6,pymegacli,33.0,33
18,https://api.github.com/repos/uber/pymegacli/pulls/4,pymegacli,33.0,33
19,https://api.github.com/repos/uber/pymegacli/pulls/3,pymegacli,33.0,33
20,https://api.github.com/repos/uber/pymegacli/pulls/2,pymegacli,31.0,33
21,https://api.github.com/repos/uber/kafka-logger/pulls/18,kafka-logger,76.0,76
22,https://api.github.com/repos/uber/sentry-logger/pulls/18,sentry-logger,22.0,22
23,https://api.github.com/repos/uber/sentry-logger/pulls/4,sentry-logger,106.0,22
24,https://api.github.com/repos/uber/logtron/pulls/43,logtron,234.0,234
25,https://api.github.com/repos/uber/sevnup/pulls/38,sevnup,98.0,98
26,https://api.github.com/repos/uber/tchannel/pulls/1422,tchannel,8284.0,8284
27,https://api.github.com/repos/uber/tchannel/pulls/1397,tchannel,8284.0,8284
28,https://api.github.com/repos/uber/tchannel/pulls/1218,tchannel,8284.0,8284
29,https://api.github.com/repos/uber/tchannel/pulls/1081,tchannel,8284.0,8284
30,https://api.github.com/repos/uber/uber-licence/pulls/33,uber-licence,60.0,59
31,https://api.github.com/repos/uber/uber-licence/pulls/32,uber-licence,65.0,59
32,https://api.github.com/repos/uber/uber-licence/pulls/29,uber-licence,59.0,59
33,https://api.github.com/repos/uber/tcap/pulls/42,tcap,92.0,92
34,https://api.github.com/repos/uber/bufrw/pulls/68,bufrw,273.0,272
35,https://api.github.com/repos/uber/bufrw/pulls/67,bufrw,272.0,272
36,https://api.github.com/repos/uber/phabricator-jenkins-plugin/pulls/326,phabricator-jenkins-plugin,2530.0,2536
37,https://api.github.com/repos/uber/uberalls/pulls/34,uberalls,128.0,115
38,https://api.github.com/repos/uber/uberalls/pulls/28,uberalls,,115
39,https://api.github.com/repos/uber/grafana-dash-gen/pulls/44,grafana-dash-gen,382.0,849
40,https://api.github.com/repos/uber/standard/pulls/47,standard,296.0,296
41,https://api.github.com/repos/uber/standard/pulls/44,standard,296.0,296
42,https://api.github.com/repos/uber/arcanist/pulls/244,arcanist,10450.0,10450
43,https://api.github.com/repos/uber/ringpop-go/pulls/221,ringpop-go,4898.0,4928
44,https://api.github.com/repos/uber/ringpop-go/pulls/186,ringpop-go,4928.0,4928
45,https://api.github.com/repos/uber/ringpop-go/pulls/27,ringpop-go,4928.0,4928
46,https://api.github.com/repos/uber/tchannel-python/pulls/495,tchannel-python,2390.0,2390
47,https://api.github.com/repos/uber/tchannel-python/pulls/493,tchannel-python,2390.0,2390
48,https://api.github.com/repos/uber/tchannel-python/pulls/492,tchannel-python,2390.0,2390
49,https://api.github.com/repos/uber/tchannel-java/pulls/228,tchannel-java,1306.0,1306
50,https://api.github.com/repos/uber/tchannel-java/pulls/227,tchannel-java,1306.0,1306
51,https://api.github.com/repos/uber/tchannel-java/pulls/226,tchannel-java,1306.0,1306
52,https://api.github.com/repos/uber/tchannel-java/pulls/200,tchannel-java,1306.0,1306
53,https://api.github.com/repos/uber/tchannel-java/pulls/198,tchannel-java,1125.0,1306
54,https://api.github.com/repos/uber/tchannel-node/pulls/368,tchannel-node,5408.0,5408
55,https://api.github.com/repos/uber/tchannel-node/pulls/367,tchannel-node,5408.0,5408
56,https://api.github.com/repos/uber/tchannel-node/pulls/365,tchannel-node,5408.0,5408
57,https://api.github.com/repos/uber/tchannel-node/pulls/363,tchannel-node,5408.0,5408
58,https://api.github.com/repos/uber/tchannel-node/pulls/268,tchannel-node,5408.0,5408
59,https://api.github.com/repos/uber/tchannel-go/pulls/843,tchannel-go,3916.0,3906
60,https://api.github.com/repos/uber/tchannel-go/pulls/838,tchannel-go,3888.0,3906
61,https://api.github.com/repos/uber/tchannel-go/pulls/817,tchannel-go,3526.0,3906
62,https://api.github.com/repos/uber/tchannel-go/pulls/766,tchannel-go,3906.0,3906
